Date,Forecast
2022-06-20,243.70368083950407
2022-06-21,247.65818798287575
2022-06-22,243.16711328351033
2022-06-23,247.95980880049578
2022-06-24,250.9583417380394
2022-06-25,246.76729211032185
2022-06-26,246.94492853643726
2022-06-27,246.92631325751844
2022-06-28,246.74335521011935
2022-06-29,248.37294886563245
2022-06-30,247.75025719432838
2022-07-01,247.07753834522705
2022-07-02,247.36849828991427
2022-07-03,247.21375662073626
2022-07-04,247.50436524882713
2022-07-05,247.65786035064022
2022-07-06,247.35082532824697
2022-07-07,247.36475879326093
2022-07-08,247.3967546387522
2022-07-09,247.3974636423337
2022-07-10,247.48875629630993
2022-07-11,247.4381009390863
2022-07-12,247.3911075680519
2022-07-13,247.41690735793918
2022-07-14,247.4139453458153
2022-07-15,247.43055877701892
2022-07-16,247.43653538951867
2022-07-17,247.4152037720688
2022-07-18,247.41700277519843
2022-07-19,247.42144862209784
