date,forecasted_sales
2022-07-20,229.8644340041551
2022-07-21,224.47795314052442
2022-07-22,227.52764660662896
2022-07-23,223.6590796488084
2022-07-24,233.5291920354984
2022-07-25,233.1922201411873
2022-07-26,227.15414112310094
2022-07-27,228.71975543320568
2022-07-28,227.99687471632325
2022-07-29,229.3390957340565
2022-07-30,230.89552350038144
2022-07-31,229.07155641043613
2022-08-01,228.8106963535734
2022-08-02,229.06543094830928
2022-08-03,229.07110493495665
2022-08-04,229.66295303663344
2022-08-05,229.41912354530237
2022-08-06,229.0807144015742
2022-08-07,229.19819014378635
2022-08-08,229.20254285904974
2022-08-09,229.3193491441303
2022-08-10,229.35478831902844
2022-08-11,229.2255980133555
2022-08-12,229.22551472793117
2022-08-13,229.2490802553629
2022-08-14,229.26371913815987
2022-08-15,229.29058550186048
2022-08-16,229.2631997636983
2022-08-17,229.24637811886254
2022-08-18,229.25678799115084
